Time (msec);Timing Advance (degrees);PLX Engine Speed (rpm);PLX Manifold Absolute Pressure (bar);PLX O2 - Wideband (Lambda)
140560;18,00;860;0,36;1,00
140759;18,50;880;0,36;1,01
140936;14,00;880;0,36;1,01
141118;14,50;899;0,36;1,01
141316;17,00;880;0,36;1,01
141511;13,50;880;0,36;1,02
141709;12,50;880;0,36;1,00
141905;19,00;880;0,37;0,99
142102;16,00;860;0,36;0,99
142287;12,50;880;0,36;0,99
142484;13,50;880;0,36;0,98
142683;14,00;860;0,36;0,98
142885;15,00;860;0,36;0,98
143086;17,50;821;0,37;0,97
143282;16,00;841;0,37;0,98
143480;18,00;841;0,37;0,98
143652;13,50;860;0,37;0,99
143841;14,00;860;0,37;0,98
144039;15,00;860;0,37;0,99
144235;13,50;841;0,37;0,99
144448;14,50;860;0,37;0,98
144646;12,50;841;0,37;0,98
144841;15,00;841;0,37;0,98
145041;15,00;841;0,37;0,99
145238;14,00;841;0,38;0,98
145439;15,00;841;0,38;0,98
145641;18,00;802;0,38;1,00
145837;15,50;821;0,38;0,99
146034;14,00;841;0,37;0,99
146227;13,00;821;0,38;1,00
146429;13,00;841;0,38;1,00
146627;15,00;860;0,43;1,01
146825;26,00;1388;0,63;1,05
147004;29,50;1701;0,63;0,87
147203;31,00;1505;0,66;0,99
147400;27,00;1095;0,74;0,97
147576;23,00;860;0,83;0,96
147777;22,50;1017;0,84;0,94
147951;26,00;1134;0,81;0,93
148147;27,50;1388;0,79;1,00
148346;28,50;1447;0,76;1,01
148545;30,00;1623;0,69;1,01
148742;32,50;1760;0,70;1,00
148960;34,50;1877;0,65;1,01
149163;36,00;2053;0,64;0,99
149362;35,50;2190;0,64;0,99
